id,name,city,state,lat,lng,operator,usage_type,connector_type,power_kw,chargers_total,chargers_available,status,price_per_kwh,renewable_pct,grid_load,created_at,address,availability,contact,isValidated,issue,lattitude,longitude,notes,phones,pincode,pricing,stationid,type
st_0001,Tata.ev Luxon Motors - Tata Power,Edappally,Kerala,10.011484735873452,76.31138749922593,Tata Power,Public - Membership Required,CCS (Type 2),60.0,4.0,2.0,limited,7.8,42.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0002,TML Sree Gokulam Motors - Tata Power,Edappally,Kerala,10.03915496555662,76.31555880759106,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,9.1,59.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0003,Tata.ev Gokulam Motors - Tata Power,Choornikkara,Kerala,10.081302790405841,76.33946199404113,Tata Power,Public - Membership Required,CCS (Type 2),60.0,2.0,0.0,busy,10.4,76.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0004,Taj Cochin Internation Airport Hotel - Tata Power,Nedumbassery,Kerala,10.159995038034909,76.39015421888632,Tata Power,Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,11.7,93.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0005,SAJ Earth Resort - Tata Power,Nedumbassery,Kerala,10.162224246244604,76.3846534973361,Tata Power,Public - Membership Required,CCS (Type 2),30.0,4.0,0.0,busy,13.0,39.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0006,Luxon Motors - Tata Power,Kariyad,Kerala,10.162042049613518,76.36735603462672,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,7.3,56.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0007,Sree Gokulam Motors - Tata Power,Angamaly,Kerala,10.22106035947604,76.3767521330019,Tata Power,Public - Membership Required,CCS (Type 2),30.0,2.0,1.0,limited,8.6,73.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0008,Centro Mall Charging Station - Tata Power,Kodungallur,Kerala,10.232489483292568,76.19594022414185,Tata Power,Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,9.9,90.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0009,IOCL Thiruvonam Fuels - Tata Power,Palakkad,Kerala,10.769830981411017,76.6680965040648,Tata Power,Public - Membership Required,CCS (Type 2),30.0,4.0,3.0,limited,11.2,36.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0011,KVR Automotive - Tata Power,Koppam,Kerala,10.782258203557744,76.65824510709217,Tata Power,Public - Membership Required,CCS (Type 2),30.0,2.0,2.0,available,6.8,70.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0012,Gokulam Residency - Tata Power,Amballur,Kerala,10.436187097899406,76.2652058281742,Tata Power,Public - Membership Required,CCS (Type 2),25.0,1.0,0.0,busy,8.1,87.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0013,Tata.ev Hyson Motors - Tata Power,Thrissur,Kerala,10.496728474625243,76.25836131243113,Tata Power,Public - Membership Required,CCS (Type 2),60.0,4.0,1.0,limited,9.4,33.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0014,PCK Centenary,Thrissur,Kerala,10.522940422798897,76.20624766653009,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,10.7,50.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0015,TML Hyson Motors - Tata Power,Thrissur,Kerala,10.540422993964356,76.18967782467394,Tata Power,Public - Membership Required,CCS (Type 2),25.0,2.0,0.0,busy,12.0,67.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0017,Hotel Gokulam Sabari - Tata Power,Guruvayur,Kerala,10.596356977075132,76.0429344292022,Tata Power,Public - Membership Required,CCS (Type 2),25.0,4.0,4.0,available,7.6,30.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0019,Shirdi,Shirdi,Maharashtra,19.75759398843948,74.47634733215601,(Unknown Operator),Public - Pay At Location,CCS (Type 2),30.0,2.0,1.0,limited,10.2,64.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0020,InFour Wheel Care And Tyres - Tata Power,Perinthalmanna,Kerala,10.960237966009911,76.23467881441364,Tata Power,Public - Membership Required,CCS (Type 2),25.0,1.0,0.0,busy,11.5,81.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0021,TML KVR Automotive - Tata Power,Perinthalmanna,Kerala,10.984502724399704,76.18784701110643,Tata Power,Public - Membership Required,CCS (Type 2),30.0,4.0,2.0,limited,12.8,27.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0022,IOCL Sigma Enterprises Charging Station - Tata Power,Valanchery,Kerala,10.897914194795774,76.06100966592317,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,7.1,44.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0023,AAK Mall,Tirur,Kerala,10.918580614575076,75.91779832596806,Tata Power,Public - Membership Required,CCS (Type 2),30.0,2.0,2.0,available,8.4,61.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0024,Tata.ev Store Malappuram,Malappuram,Kerala,11.052515251663408,76.07764045262866,Tata Power,Public - Membership Required,CCS (Type 2),60.0,1.0,0.0,busy,9.7,78.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0025,A M Tyres Malappuram - Tata Power,Malappuram,Kerala,11.060402531981708,76.08084415906977,Tata Power,Public - Membership Required,CCS (Type 2),30.0,4.0,0.0,busy,11.0,95.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0026,Hotel Gokulam Relax Park,Manjeri,Kerala,11.118906106281456,76.11847374415197,Tata Power,Public - Membership Required,CCS (Type 2),25.0,3.0,2.0,limited,12.3,41.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0028,One Stop Automotive Cahrging Station - Tata Power,Edavanna,Kerala,11.204146203983242,76.13673353482534,Tata Power,Public - Membership Required,CCS (Type 2),60.0,1.0,0.0,offline,7.9,75.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0029,Moto Town Auto Hub - Tata Power,Wandoor,Kerala,11.223249596398574,76.216915246844,Tata Power,Public - Membership Required,CCS (Type 2),30.0,4.0,3.0,limited,9.2,92.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0030,IOCL Aaditya Petroleum Naduvath Charging Station - Tata Power,Wandoor,Kerala,11.211054369500443,76.22468507295008,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,10.5,38.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0031,Calicut Airport Charging Station - Tata Power,Kondotty,Kerala,11.140292270314331,75.94831371133864,Tata Power,Public - Membership Required,CCS (Type 2),60.0,2.0,1.0,limited,11.8,55.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0032,TML Marina Motors - Tata Power,Kozhikode,Kerala,11.216965265185236,75.85795106094035,Tata Power,Public - Membership Required,CCS (Type 2),25.0,1.0,0.0,busy,13.1,72.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0034,Rotana Motors Meenchanda - Tata Power,Meenchanda,Kerala,11.213908526645213,75.80263211133581,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,8.7,35.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0035,IOCL Lakshmi Sales & Service - Tata Power,Kozhikode,Kerala,11.23362686322484,75.80323852757283,Tata Power,Public - Membership Required,CCS (Type 2),30.0,2.0,2.0,available,10.0,52.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0036,Gokulam Galleria Mall - Tata Power,Kozhikode,Kerala,11.2584651335099,75.79290611849729,Tata Power,Public - Membership Required,CCS (Type 2),25.0,1.0,0.0,busy,11.3,69.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0039,Hotel Hyson Heritage - Tata Power,Kozhikode,Kerala,11.259214498820045,75.77933452309297,Tata Power,Public - Membership Required,CCS (Type 2),25.0,2.0,0.0,busy,8.2,49.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0041,Taj The Gateway Hotel - Tata Power,Kozhikode,Kerala,11.258689823191387,75.77397870788236,Tata Power,Public - Membership Required,CCS (Type 2),30.0,4.0,2.0,limited,10.8,83.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0043,IOCL Engapuzha Fuel - Tata Power,Engapuzha,Kerala,11.465050129739268,75.97017469880147,Tata Power,Public - Membership Required,CCS (Type 2),25.0,2.0,1.0,limited,13.4,46.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0044,IOCl Balaji Petroleum - Tata Power,Sulthan Bathery,Kerala,11.660943020691448,76.24002282400441,Tata Power,Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,7.7,63.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0045,Hotel Saugandhika Charging Station - Tata Power,Meenangadi,Kerala,11.6593282557467,76.20718522782688,Tata Power,Public - Membership Required,CCS (Type 2),60.0,4.0,0.0,busy,9.0,80.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0046,TML Marina Motors Pvt. Ltd. Kalpetta - Tata Power,Kalpetta,Kerala,11.637352766290704,76.09468538005217,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,10.3,26.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0047,Taj Wayanad Resort and Spa- Tata Power,Padinjarathara,Kerala,11.6576333638655,75.96043177655011,Tata Power,"Private - For Staff, Visitors or Customers",CCS (Type 2),30.0,2.0,2.0,available,11.6,43.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0049,KVR Dream Vehicles Thalassery - Tata Power,Thalassery,Kerala,11.761734248724949,75.5090683786119,Tata Power,Public - Membership Required,CCS (Type 2),30.0,4.0,3.0,limited,7.2,77.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0050,IOCL - MK Petroleum - Tata Power,Thazhe Chovva,Kerala,11.860150179085252,75.41434121644006,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,8.5,94.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
